timestamp_ns,time_s,state,gt_pos_x,gt_pos_y,stop_number
7696647000,5.155441,Stop,2.070000,0.700000,1.000000
7716567000,5.175361,Stop,2.070000,0.700000,1.000000
7736155000,5.194949,Stop,2.070000,0.700000,1.000000
7757371000,5.216165,Stop,2.070000,0.700000,1.000000
7783592000,5.242386,Stop,2.070000,0.700000,1.000000
7796427000,5.255221,Stop,2.070000,0.700000,1.000000
7816159000,5.274953,Stop,2.070000,0.700000,1.000000
7837196000,5.295990,Stop,2.070000,0.700000,1.000000
7866063000,5.324857,Stop,2.070000,0.700000,1.000000
7884030000,5.342824,Stop,2.070000,0.700000,1.000000
7896046000,5.354840,Stop,2.070000,0.700000,1.000000
7915599000,5.374393,Stop,2.070000,0.700000,1.000000
7946061000,5.404855,Stop,2.070000,0.700000,1.000000
7955952000,5.414746,Stop,2.070000,0.700000,1.000000
7976510000,5.435304,Stop,2.070000,0.700000,1.000000
8005424000,5.464218,Stop,2.070000,0.700000,1.000000
8025300000,5.484094,Stop,2.070000,0.700000,1.000000
8035683000,5.494477,Stop,2.070000,0.700000,1.000000
8056003000,5.514797,Stop,2.070000,0.700000,1.000000
8075656000,5.534450,Stop,2.070000,0.700000,1.000000
8096792000,5.555586,Stop,2.070000,0.700000,1.000000
8120888000,5.579682,Stop,2.070000,0.700000,1.000000
8135985000,5.594779,Stop,2.070000,0.700000,1.000000
8155923000,5.614717,Stop,2.070000,0.700000,1.000000
8181960000,5.640754,Stop,2.070000,0.700000,1.000000
8195256000,5.654050,Stop,2.070000,0.700000,1.000000
8215421000,5.674215,Stop,2.070000,0.700000,1.000000
8236039000,5.694833,Stop,2.070000,0.700000,1.000000
8264639000,5.723433,Stop,2.070000,0.700000,1.000000
8275645000,5.734439,Stop,2.070000,0.700000,1.000000
8295636000,5.754430,Stop,2.070000,0.700000,1.000000
8315525000,5.774319,Stop,2.070000,0.700000,1.000000
8341547000,5.800341,Stop,2.070000,0.700000,1.000000
8355568000,5.814362,Stop,2.070000,0.700000,1.000000
8376036000,5.834830,Stop,2.070000,0.700000,1.000000
8395362000,5.854156,Stop,2.070000,0.700000,1.000000
8415307000,5.874101,Stop,2.070000,0.700000,1.000000
8444621000,5.903415,Stop,2.070000,0.700000,1.000000
